Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ticker
2023-11-30 00:00:00-05:00,385.34315837380626,385.80745226495605,381.13490900301946,384.10833740234375,52834400,0.0,0.0,0.0,QQQ
2023-12-01 00:00:00-05:00,383.0414558021042,385.79758458288353,381.3818636930955,385.2048645019531,40490100,0.0,0.0,0.0,QQQ
2023-12-04 00:00:00-05:00,381.40159679910977,381.90541337254484,378.0132554901904,381.6288146972656,51186900,0.0,0.0,0.0,QQQ
2023-12-05 00:00:00-05:00,379.7222879737383,383.7823649314117,379.54445083888635,382.5870666503906,42933000,0.0,0.0,0.0,QQQ
2023-12-06 00:00:00-05:00,385.53081967223824,385.6296113706674,380.0284808189571,380.37420654296875,41994100,0.0,0.0,0.0,QQQ
2023-12-07 00:00:00-05:00,383.35760668140927,386.51873044449405,382.26106992530634,385.6889343261719,49593500,0.0,0.0,0.0,QQQ
2023-12-08 00:00:00-05:00,383.9503076689904,387.8523238589643,383.7626124691667,387.4078063964844,46687500,0.0,0.0,0.0,QQQ
2023-12-11 00:00:00-05:00,386.98300463516034,390.9838426749662,386.77556315290263,390.71710205078125,41198000,0.0,0.0,0.0,QQQ
2023-12-12 00:00:00-05:00,390.75666786161526,393.947456459967,389.62063847081504,393.82891845703125,39221200,0.0,0.0,0.0,QQQ
2023-12-13 00:00:00-05:00,394.76737564135937,399.4498077725173,393.99684845335867,398.83734130859375,55408100,0.0,0.0,0.0,QQQ
2023-12-14 00:00:00-05:00,400.06229651269246,401.36624470342423,395.4786260456355,398.4916076660156,55447800,0.0,0.0,0.0,QQQ
2023-12-15 00:00:00-05:00,399.27192924563496,401.6032868244302,398.66935110583745,400.4178466796875,62896600,0.0,0.0,0.0,QQQ
2023-12-18 00:00:00-05:00,400.8118131679451,403.84069023789203,400.48518259292433,402.93994140625,46610000,0.808,0.0,0.0,QQQ
2023-12-19 00:00:00-05:00,403.39532058930905,405.1176150970901,403.20725047556124,404.99884033203125,35711900,0.0,0.0,0.0,QQQ
2023-12-20 00:00:00-05:00,404.1970751409553,406.2955098486141,398.8024897102253,398.98065185546875,54042400,0.0,0.0,0.0,QQQ
2023-12-21 00:00:00-05:00,402.920184502752,403.9892177846169,400.3565285095735,403.6229553222656,45568900,0.0,0.0,0.0,QQQ
2023-12-22 00:00:00-05:00,404.84043531974334,405.8005715457828,402.3460748080174,404.22674560546875,34314000,0.0,0.0,0.0,QQQ
2023-12-26 00:00:00-05:00,405.08792724831693,407.3744321303191,404.98893820693553,406.70135498046875,22722500,0.0,0.0,0.0,QQQ
2023-12-27 00:00:00-05:00,406.98458562407046,407.8164764899842,406.1229552263835,407.5292663574219,31980500,0.216,0.0,0.0,QQQ
2023-12-28 00:00:00-05:00,408.68798242413885,408.9355700662778,406.9746650602208,407.3311767578125,27029200,0.0,0.0,0.0,QQQ
2023-12-29 00:00:00-05:00,407.3113860703457,407.6679279958033,403.6470768284761,405.568359375,42662100,0.0,0.0,0.0,QQQ
