Ticker,Metric,Mean,Std Error,CI Lower (Parametric),CI Upper (Parametric),CI Lower (Bootstrap),CI Upper (Bootstrap),Contains Zero
QQQ,Mean Difference (NN - Trad),0.04665464161238946,0.013664417418120784,0.019563605056356796,0.07374567816842213,0.02018544919831554,0.0731761822564729,No
SPY,Mean Difference (NN - Trad),0.317368243030716,0.05344357557030478,0.2116589207349798,0.42307756532645213,0.21272030833663594,0.4199479273275232,No
TSLA,Mean Difference (NN - Trad),0.7521726560906915,0.20318222844721254,0.34318804267065545,1.1611572695107275,0.3723102362872907,1.1455712156978086,No
