Metric,Bootstrap Mean,CI Lower (95%),CI Upper (95%),Sample Mean
Mean RMSE (Traditional),0.593796775193378,0.4922995631954427,0.7375925815752801,0.5941146949731447
Mean RMSE (NN),1.1213091416177121,0.526354539706305,1.9191671870285514,1.124589000057473
Mean Speedup,2.2650651181156847,0.8128436910403373,3.5913278982137373,2.267911955814219
