Ticker,Spot ($),N Options,Trad RMSE ($),NN RMSE ($),Trad MAE ($),NN MAE ($),Trad Time (s),NN Time (s),Speedup
QQQ,619.25,107,0.4922995631954427,0.526354539706305,0.3756307084389952,0.4222853500513846,6.006933927536011,1.6726219654083252,3.5913278982137373
SPY,683.469970703125,134,0.5524519401487114,0.9282452734375629,0.43346620904176064,0.7508344520724767,5.3354878425598145,2.2235236167907715,2.3995642781885826
TSLA,430.1700134277344,47,0.73759258157528,1.9191671870285512,0.5360941386398697,1.2882667947305613,2.4905781745910645,3.064030885696411,0.8128436910403373
