Test,Original P-value,Bonferroni Corrected,Bonferroni Significant,FDR (Benjamini-Hochberg),FDR Significant
QQQ - Paired t-test (Errors),0.0009070154617678434,0.005442092770607061,True,0.0013605231926517652,True
SPY - Paired t-test (Errors),2.3702263019995087e-08,1.4221357811997053e-07,True,1.4221357811997053e-07,True
TSLA - Paired t-test (Errors),0.0005709413367107907,0.003425648020264744,True,0.0011418826734215814,True
QQQ - Wilcoxon (Errors),0.001383152481290652,0.008298914887743912,True,0.0016597829775487822,True
SPY - Wilcoxon (Errors),7.093738438817439e-08,4.2562430632904633e-07,True,2.128121531645232e-07,True
TSLA - Wilcoxon (Errors),0.006278256185908049,0.03766953711544829,True,0.006278256185908049,True
