Ticker,Metric,Cohen's d,Glass's Δ,Hedges' g,Mean Difference,Percentage Change,Effect Size Interpretation
QQQ,Absolute Pricing Error,0.3300744045643178,0.14684954515555396,0.32771110333832026,0.04665464161238946,-12.420348114314626,Small
SPY,Absolute Pricing Error,0.5129978702038845,0.6939444845391015,0.510077578722648,0.317368243030716,-73.21637452024326,Medium
TSLA,Absolute Pricing Error,0.5399864886023829,0.696906335761664,0.5309364357207786,0.7521726560906915,-140.30607721230402,Medium
